channel_name	sponsorship	welcome_msg	emoji	function	emoji_2	function_2	channel_id
Cathay Financial Holdings	 國泰金控	"**【Cathay Financial Holdings 國泰金控】**```
Hi，這是【Cathay Financial Holdings 國泰金控】贊助遊戲頻道，請至 Gather.town 攤位查看題目
This is a puzzle provided by our sponsor Cathay Financial Holdings.
Checkout the questions on their booth on the Gather Town space. ```
**回答問題將獲得 <:paw_stamp_pink:1010770490111033414> 肉球印章 + :money_with_wings: 2000 貓金幣 
You'll get Pawprint Stamps + 2000 PyCat coins after you solve this puzzle.**
> 
> :point_right:  Answer questions | 玩遊戲：click :cat:
> :point_right:  booth location：A7 & B1

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
Map：<#1008236974999613501>"	:cat:	私訊遊戲問題	:py:	連到 https://tw.pycon.org/2022/zh-hant	1001111220310523945
Micron	 美光	"**【Micron 美光】**```
Hi，這是【Micron 美光】贊助遊戲頻道，請至 Gather.town 攤位查看題目
This is a puzzle provided by our sponsor Micron.
Checkout the questions on their booth on the Gather Town space. ```
**回答問題將獲得 <:paw_stamp_pink:1010770490111033414> 肉球印章 + :money_with_wings: 2000 貓金幣 
You'll get Pawprint Stamps + 2000 PyCat coins after you solve this puzzle.**
> 
> :point_right:  Answer questions | 玩遊戲：click :cat:
> :point_right:  booth location：A6 & B4

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
Map：<#1008236974999613501>"	:cat:	私訊遊戲問題	:py:	連到 https://tw.pycon.org/2022/zh-hant	1004348381042323566
Pinkoi		"**【Pinkoi】**```
Hi，這是【Pinkoi】贊助遊戲頻道，請至 Gather.town 攤位查看題目
This is a puzzle provided by our sponsor Pinkoi.
Checkout the questions on their booth on the Gather Town space. ```
**回答問題將獲得 <:paw_stamp_pink:1010770490111033414> 肉球印章 + :money_with_wings: 1600 貓金幣 
You'll get Pawprint Stamps + 1600 PyCat coins after you solve this puzzle.**
> 
> :point_right:  Answer questions | 玩遊戲：click :cat:
> :point_right:  booth location：B5

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
Map：<#1008236974999613501>"	:cat:	私訊遊戲問題	:py:	連到 https://tw.pycon.org/2022/zh-hant	1004348628862775296
Dcard		"**【Dcard】**```
Hi，這是【Dcard】贊助遊戲頻道，請至 Gather.town 攤位查看題目
This is a puzzle provided by our sponsor Dcard.
Checkout the questions on their booth on the Gather Town space. ```
**回答問題將獲得 <:paw_stamp_pink:1010770490111033414> 肉球印章 + :money_with_wings: 1600 貓金幣 
You'll get Pawprint Stamps + 1600 PyCat coins after you solve this puzzle.**
> 
> :point_right:  Answer questions | 玩遊戲：click :cat:
> :point_right:  booth location：A1

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
Map：<#1008236974999613501>"	:cat:	私訊遊戲問題	:py:	連到 https://tw.pycon.org/2022/zh-hant	1004348679370584124
SinoPac Securities 	永豐金證券	"**【SinoPac Securities 永豐金證券】**```
Hi，這是【SinoPac Securities 永豐金證券】贊助遊戲頻道，請至 Gather.town 攤位查看題目
This is a puzzle provided by our sponsor SinoPac Securities .
Checkout the questions on their booth on the Gather Town space. ```
**回答問題將獲得 <:paw_stamp_pink:1010770490111033414> 肉球印章 + :money_with_wings: 1600 貓金幣 
You'll get Pawprint Stamps + 1600 PyCat coins after you solve this puzzle.**
> 
> :point_right:  Answer questions | 玩遊戲：click :cat:
> :point_right:  booth location：A4

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
Map：<#1008236974999613501>"	:cat:	私訊遊戲問題	:py:	連到 https://tw.pycon.org/2022/zh-hant	1004348729857421423
E.SUN Bank	 玉山銀行	"**【E.SUN Bank 玉山銀行】**```
Hi，這是【E.SUN Bank 玉山銀行】贊助遊戲頻道，請至 Gather.town 攤位查看題目
This is a puzzle provided by our sponsor E.SUN Bank.
Checkout the questions on their booth on the Gather Town space. ```
**回答問題將獲得 <:paw_stamp_pink:1010770490111033414> 肉球印章 + :money_with_wings: 1600 貓金幣 
You'll get Pawprint Stamps + 1600 PyCat coins after you solve this puzzle.**
> 
> :point_right:  Answer questions | 玩遊戲：click :cat:
> :point_right:  booth location：B3

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
Map：<#1008236974999613501>"	:cat:	私訊遊戲問題	:py:	連到 https://tw.pycon.org/2022/zh-hant	1004348775915073567
Berry AI		"**【Berry AI】**```
Hi，這是【Berry AI】贊助遊戲頻道，請至 Gather.town 攤位查看題目
This is a puzzle provided by our sponsor Berry AI.
Checkout the questions on their booth on the Gather Town space. ```
**回答問題將獲得 <:paw_stamp_pink:1010770490111033414> 肉球印章 + :money_with_wings: 1600 貓金幣 
You'll get Pawprint Stamps + 1600 PyCat coins after you solve this puzzle.**
> 
> :point_right:  Answer questions | 玩遊戲：click :cat:
> :point_right:  booth location：B2

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
Map：<#1008236974999613501>"	:cat:	私訊遊戲問題	:py:	連到 https://tw.pycon.org/2022/zh-hant	1004348844412252170
KKCompany		"**【KKCompany】**```
Hi，這是【KKCompany】贊助遊戲頻道，請至 Gather.town 攤位查看題目
This is a puzzle provided by our sponsor KKCompany.
Checkout the questions on their booth on the Gather Town space. ```
**回答問題將獲得 <:paw_stamp_pink:1010770490111033414> 肉球印章 + :money_with_wings: 1600 貓金幣 
You'll get Pawprint Stamps + 1600 PyCat coins after you solve this puzzle.**
> 
> :point_right:  Answer questions | 玩遊戲：click :cat:
> :point_right:  booth location：A5

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
Map：<#1008236974999613501>"	:cat:	私訊遊戲問題	:py:	連到 https://tw.pycon.org/2022/zh-hant	1004348898422304889
Reuven Lerner		"**【Reuven Lerner】**```
Hi，這是【Reuven Lerner】贊助遊戲頻道，請至 Gather.town 攤位查看題目
This is a puzzle provided by our sponsor Reuven Lerner.
Checkout the questions on their booth on the Gather Town space. ```
**回答問題將獲得 <:paw_stamp_pink:1010770490111033414> 肉球印章 + :money_with_wings: 1600 貓金幣 
You'll get Pawprint Stamps + 1600 PyCat coins after you solve this puzzle.**
> 
> :point_right:  Answer questions | 玩遊戲：click :cat:
> :point_right:  booth location：A3

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
Map：<#1008236974999613501>"	:cat:	私訊遊戲問題	:py:	連到 https://tw.pycon.org/2022/zh-hant	1004350820302733392
Appier	 沛星互動科技	"**【Appier 沛星互動科技】**```
Hi，這是【Appier 沛星互動科技】贊助遊戲頻道，請至 Gather.town 攤位查看題目
This is a puzzle provided by our sponsor Appier.
Checkout the questions on their booth on the Gather Town space. ```
**回答問題將獲得 <:paw_stamp_pink:1010770490111033414> 肉球印章 + :money_with_wings: 1600 貓金幣 
You'll get Pawprint Stamps + 1600 PyCat coins after you solve this puzzle.**
> 
> :point_right:  Answer questions | 玩遊戲：click :cat:
> :point_right:  booth location：A2

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
Map：<#1008236974999613501>"	:cat:	私訊遊戲問題	:py:	連到 https://tw.pycon.org/2022/zh-hant	1004350847943184434
