channel	channel_id	welcome_msg
game-start	1000406828024336435	"<:paw_stamp_pink:1010770490111033414> **收集「肉球印章」參加抽獎！**
> 回答贊助問題拿肉球印章，收集 5 個印章可參加抽獎，集越多中獎機會越高！
<:paw_stamp_pink:1010770490111033414> **Earn Pawprint Stamps to join the lucky draw!**
> Join quizzes provided by our sponsors to get a Pawprint Stamp. You'll be eligible for a lucky draw after five Pawprint Stamps are collected. The more you collect the higher your chance of winning! 

:money_with_wings:**賺「貓金幣」拿特殊獎勵 ! **
> 完成指定任務可獲得貓金幣，獲得金幣數前 10 名的參加者會得到特殊獎勵
:money_with_wings:** Earn PyCat coins to get the special reward! **
> You can earn PyCat coins by participating in assigned tasks, e.g., joining quizzes provided by our sponsors. The top 10 richest will get a special reward. 
`  Mission list | 任務列表：`<#1000406828024336436>`  PS 回答贊助問題可獲得大量貓金幣  `

:flag_white: **Team credit  |  貓將軍集靈氣**
> 
> 會場上設有紅隊、黃隊、綠隊集氣點，經過集氣點計數會+1
> 最終集氣數最高的隊伍獲得貓金幣 3000！
> All participants will belong to ""Yellow"", ""Red"", or ""green"" team.
> There are ""check-in sites"" owned by each team at the venue. You can increase your team credit by visiting these check-in sites. Team with the highest credit will win 3000 PyCat coins exclusively!


:star: 按下表情符號後將收到「PyCat」的私訊，首次遊玩請點選 :comet: 進行語言及隊伍設定
> You will get a private message from PyCat by clicking Discord reactions in channels.
> If you are new here, click :comet: to set your language and team first.

:small_blue_diamond: 回答錯誤有扣分機制，請謹慎填答！Don't answer questions indiscriminately or you'll be punished!
:small_blue_diamond: 遊戲時間到 9/4 16:00 分截止！Your score will freeze at  16:00 Sep 4th (+8). Try your best and have fun!


--------- **Features  |  功能介紹** ---------
> Map | 地圖：<#1008236974999613501>
> Mission list | 任務列表：<#1000406828024336436>
> Leaderboard | 排行榜：<#1006167895669223546>
> 
> Check your score | 查看分數：click :trophy:
> Switch language | 切換語言：click :abc:

------------------- **links** -------------------
PyCon APAC Discord server  ：https://lihi2.cc/B5hqf
PyCon APAC Gather space A：https://lihi2.cc/CsNYr
PyCon APAC Gather space B ：https://lihi2.cc/ukjsc"
mission-list	1000406828024336436	"PyCat festival activities 任務列表


**:crown:   SPONSOR MISSIONS   |   贊助任務   :crown:** 
> 到 gather 贊助攤位查看題目，根據 PyCon 官網的提示回答問題
> Check out quizzes at our sponsor's booths. ps: You can get hints from sponsor introductions on our website.
> 
> <:paw_stamp_pink:1010770490111033414> + :money_with_wings: 2000
>  <#1001111220310523945> <#1004348381042323566>
> <:paw_stamp_pink:1010770490111033414> + :money_with_wings: 1600
> <#1004348628862775296> <#1004348679370584124> <#1004348729857421423> <#1004348775915073567>
> <#1004348844412252170> <#1004348898422304889> <#1004350820302733392> <#1004350847943184434> <#1004350894160220250>


**:small_orange_diamond:Get paid to chat   |   閒聊拿金幣**                                        |    :money_with_wings: 100    <#1008231762599612446>
**:small_orange_diamond:Taiwan trivia quizzes   |   貓將軍繞境**                              |    :money_with_wings: 400   <#1008291016668880936> <#1001111382739132426> <#1001111420215246968>
**:small_orange_diamond:Python puzzle   |   python 挑戰**                                          |    :money_with_wings: 400   <#1004352415698522233>
**:small_orange_diamond:Secret missions on Gather space   |  神秘空間闖關**     |    :money_with_wings: 800   <#1004351730256978062>


<:paw_stamp_pink:1010770490111033414> ` 肉球印章 Pawprint Stamps `
:money_with_wings: ` 貓金幣 PyCat coins `
---------------------- Quick links ----------------------
How to play：<#1000406828024336435>
Map：<#1008236974999613501>"
leaderboard	1006167895669223546	"**Ranking board  貓金幣排行榜**
貓金幣數排名前 10 可獲得特殊獎勵，多賺些貓金幣讓自己上榜吧
Top 10 richest will get the special reward."
map	1008236974999613501	"full map：https://lihi2.cc/nL12P
PyCon APAC Gather space A：https://lihi2.cc/CsNYr
PyCon APAC Gather space B ：https://lihi2.cc/ukjsc
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
--------------------------------------------------------------
A1   :small_blue_diamond: 【 Dcard 】                                                           <#1004348679370584124>
A2  :small_blue_diamond: 【 Appier 沛星互動科技 】                              <#1004350847943184434>
A3  :small_blue_diamond: 【 Reuven Lerner 】                                            <#1004350820302733392>
A4  :small_blue_diamond: 【 SinoPac Securities 永豐金證券 】             <#1004348729857421423>
A5  :small_blue_diamond: 【 KKCompany 】                                               <#1004348898422304889>
A6  :small_orange_diamond: 【 Micron 美光 】                                               <#1004348381042323566>
A7  :small_orange_diamond: 【 Cathay Financial Holdings 國泰金控 】    <#1001111220310523945>

B1   :small_orange_diamond: 【 Cathay Financial Holdings 國泰金控 】     <#1001111220310523945>
B2  :small_blue_diamond: 【 Berry AI 】                                                        <#1004348844412252170>
B3  :small_blue_diamond: 【 E.SUN Bank 玉山銀行 】                               <#1004348775915073567>
B4  :small_orange_diamond: 【 Micron 美光 】                                                <#1004348381042323566>
B5  :small_blue_diamond: 【 Pinkoi 】                                                            <#1004348628862775296>
B6  :small_blue_diamond: 【 iCHEF 資廚 】                                                  <#1004350894160220250>"
help	1008276066869186613	"如果你對大地遊戲有任何疑問，歡迎在這個頻道提出！
（為維護遊戲體驗，請不要將答案傳到此頻道）
Seeking help here if you have any questions. Plz do NOT share any answers here."
食物	1008291016668880936	"```Hi，歡迎大家來到台灣旅遊！在台灣，我們有許多各式各樣的食物，富有美食王國的美稱，以下是在台灣的一些銅板小吃，你能夠答出美食所對應的製作方法嗎？
以下我們列出了一些問題關鍵字！快到 Gather 主會場找線索以及對應的答案吧！
This is a quiz for introducing Taiwanese food you'll like to tucking into.
You can find hints on the Gather space.```
**回答問題將獲得 < :money_with_wings: 400 貓金幣 >**
> 
> # 台中太陽餅：請點🫓回答
> # 台南牛肉麵：請點🍜回答

**Answer the following questions to earn < :money_with_wings: 400 PyCat coins >**
> 
> # Taichung suncakes: click 🫓 to answer
> # Tainan beef noodle soup: click 🍜 to answer

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>"
自然	1001111382739132426	"```Hi, 歡迎來到台灣旅遊！台灣位於亞熱帶氣候區，有一些台灣特有的景觀及動物，大家一起來探索台灣的自然之美吧！
以下我們列出了一些問題關鍵字！快到 Gather 主會場找線索以及對應的答案吧！
This is a quiz for introducing world-renowned nature and attractions in Taiwan.
You can find hints on the Gather space.```
**回答問題將獲得 < :money_with_wings: 400 貓金幣 >**
> 
> #台灣最高山 :  請點 ⛰️ 回答
> #澎湖旅遊景點 : 請點 🏜️ 回答
> #台灣離島 : 請點 🏝️  回答
> #本土特色動物 : 請點 🐻  回答

**Answer the following questions to earn < :money_with_wings: 400 PyCat coins >**
> 
> #Highest peak in Taiwan: click  ⛰️ to answer
> #Penghu attractions: click 🏜️ to answer
> #Outlying islands of Taiwan: click  🏝️  to answer
> #Taiwan special animals: click 🐻  to answer

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
"
人文	1001111420215246968	"```Hi, 歡迎來到台灣旅遊！台灣這邊有一些特別的風俗民情，你能夠答出正確答案嗎？
以下我們列出了一些問題關鍵字！快到 Gather 主會場找線索以及對應的答案吧！
This is a quiz to make you more understand Taiwan cultures.
You can find hints on the Gather Town space.```
**回答問題將獲得 < :money_with_wings: 400 貓金幣 >**
> 
> #金門伴手禮：請點 <:kinmen:1006717203946672179> 回答
> #台灣最高建築：請點 🏙️  回答
> #苗栗觀光活動：請點 ✈️ 回答
> #元宵節要幹嘛：請點 🏮  回答
> #台灣運動：請點 ⛹️  回答

**Answer the following questions to earn < :money_with_wings: 400 PyCat coins >**.
> 
> #Kinmen souvenir: Click <:kinmen:1006717203946672179> to answer
> #Tallest building in Taiwan: click :cityscape:  to answer
> #Maoli sightseeing: click :airplane: to answer
> #Lantern Festival activity: click :izakaya_lantern:  to answer
> #Sports in Taiwan: click  :person_bouncing_ball:  to answer

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>
"
神秘空間	1004351730256978062	"你有發現 gather 會場上的神秘關卡嗎，成功通關將獲得 < :money_with_wings: 800 貓金幣 >，快到 gather 闖關吧！
Find and clear secret missions on our Gather space to earn 800 PyCat coins

> **#大熊想喝木瓜牛奶：請點 🧋
> #平行宇宙的夜市漫遊：請點 <:street:1008183197533745224>**

> **# Get the drink**: Click :bubble_tea:to bring our old friend PyBear a cup of papaya milk.
> **# The multiverse**: Click  <:street:1008183197533745224> to answer the difference between three similiar night market scenes.

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>"
閒聊拿金幣	1008231762599612446	"來跟貓將軍閒聊將獲得 < :money_with_wings: 100 貓金幣 >
Chat with PyCat to earn 100 PyCat coins

> :point_right: 閒聊拿金幣：請點 :moneybag:
> :point_right: Start chatting by clicking 💰

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>"
機會與命運	1009488095911096340	"點選 :game_die: 將獲得隨機金幣或失去金幣
Are you lucky today? Click :game_die: to earn or loss your coins randomly"
幫貓將軍解 python	1004352415698522233	"**幫貓將軍解 python 將獲得 < :money_with_wings: 400 貓金幣 >**
**Solve PyCat's Python puzzle to earn < :money_with_wings: 400 PyCat coins >**

**number   |      difficulty     |         title**
     <:0_:1011963480863150171>      |    :star: :star: <:X_:1011980140009492533>    |    CPython I
     <:1_:1011963459732250646>      |    :star: :star: <:X_:1011980140009492533>    |    CPython II
     <:2_:1011963462135590912>      |    :star: :star: <:X_:1011980140009492533>    |    Python Module I
     <:3_:1011963464601837600>      |    :star: :star: <:X_:1011980140009492533>    |    Python Module II
     <:4_:1011963467357491200>      |    :star: :star: <:X_:1011980140009492533>    |    Python standard library
     <:5_:1011963469962149979>      |    :star: :star: :star:    |    CPython III
     <:6_:1011963472239669269>      |    :star: :star: :star:    |    CPython IV
     <:7_:1011963474517184714>      |    :star: :star: :star:    |    CPython V
     <:8_:1011963476543025153>      |    :star: :star: :star:    |    Metadata for Python Software Packages
     <:9_:1011963478887645194>      |    :star: :star: <:X_:1011980140009492533>    |    Origin of Python 
     <:A_:1011963482909970474>      |    :star: :star: <:X_:1011980140009492533>    |    PyCon History
     <:B_:1011963485426569347>      |    :star: :star: <:X_:1011980140009492533>    |    Boolean Challenge
     <:C_:1011963488006062152>      |    :star: <:X_:1011980140009492533> <:X_:1011980140009492533>    |    What's the output? I
     <:D_:1011963491457974362>      |    :star: :star: <:X_:1011980140009492533>    |    What's the output? II
     <:E_:1011963494251372614>      |    :star: <:X_:1011980140009492533> <:X_:1011980140009492533>    |    What's the output? III
     <:F_:1011963496621146202>      |    :star: :star: <:X_:1011980140009492533>    |    What's the output? IV

------------------- Quick links -------------------
How to play：<#1000406828024336435>
Mission list：<#1000406828024336436>"
