tw_description	en_description	tw_opt1	tw_opt2	tw_opt3	tw_opt4	en_opt1	en_opt2	en_opt3	en_opt4	ans	coins	stars	discord_channel	emoji_text	emoji	details	reference	hashtag	link	channel_id	qid
"請到國泰金控 (B15) 贊助攤位查看選項
您將獲得 肉球印章 + 貓金幣 2000，回答錯誤有扣分機制，請謹慎填答

請問國泰金控哪個單位協助各子公司投注相當的資源與人力，專注於資料科學研發，共同探討資料科學技術的創新應用?"	Who provides innovative digital products and services driven by data with brilliant customer experiences in Cathay Financial Holdings?	一路發中心	發發數中心	國泰大數據中心	數數發中心	168 Center	TDD	Big Data Center	DDT	4	2000	1	Cathay financial holdings	:star:	⭐	"請到國泰金控 (B15) 贊助攤位查看選項
您將獲得 ⭐️ + $1600 （謹慎作答以獲得更多金幣 $1600 - $800 - &400 - $200)
[ 開始回答 ］...下拉式選單
查看地圖，請點🗺︎"		-	https://docs.google.com/presentation/d/13Lw3v9cKSLAOw6jPEBnc7foSd0GoQJntSD27FhtsYwg/preview?usp=sharing	1001111220310523945	cfh_q1
"請到美光 (B15) 贊助攤位查看選項
您將獲得 肉球印章 + 貓金幣 2000，回答錯誤有扣分機制，請謹慎填答

 請問美光近年開發哪款非揮發性記憶體?"	Which non-volatile memory does micron develop recently?	NAND	DRAM	3D XPoint	NOR	NAND	DRAM	3D XPoint	NOR	3	2000	1	Micron	:star:	⭐			-	https://docs.google.com/presentation/d/1AatufLWI8N0xJEYnuhtI0-7Etw_l_ZmZ5lMrfbq-hDo/preview?usp=sharing	1004348381042323566	micron_q1
"請到 Pinkoi (B15) 贊助攤位查看選項
您將獲得 肉球印章 + 貓金幣 1600，回答錯誤有扣分機制，請謹慎填答

請問 Pinkoi 的品牌使命是什麼茁壯哪一洲的設計生態圈?"	Which continent does Pinkoi bring design brands to the international market?	歐洲	美洲	非洲	亞洲	Europe	America	Africa	Asia	4	1600	1	Pinkoi	:star:	⭐			-	https://docs.google.com/presentation/d/1ILEPkMJMPMidJuAJyc1jklrDEXZU5IiOVR0vn8dW2ww/preview?usp=sharing	1004348628862775296	pinkoi_q1
"請到 Dcard (B15) 贊助攤位查看選項
您將獲得 肉球印章 + 貓金幣 1600，回答錯誤有扣分機制，請謹慎填答

Dcard 朝哪種公司級別的目標前進?"	Which scale of company is Dcard goal?	世界級網路公司	亞洲級網路公司	宇宙級網路公司	臺灣級網路公司	international company	Asia company	universe company	taiwan company	1	1600	1	Dcard	:star:	⭐			-	https://docs.google.com/presentation/d/1JOex4m4sQe4MOIkVOuY9_RnNBJP_zo8FsC9ImQ4geT4/preview?usp=sharing	1004348679370584124	dcard_q1
"請到 永豐金證券 (B15) 贊助攤位查看選項
您將獲得 肉球印章 + 貓金幣 1600，回答錯誤有扣分機制，請謹慎填答

永豐金證券是大型綜合券商，請問該券商使用哪個 Python API 在交易量皆為市場第一?"	Which Python API does SinoPac Securities use in most trading business?	Sinoaji	Shioaji	Sanji	DAWHO	Sinoaji	Shioaji	Sanji	DAWHO	2	1600	1	Sinopac securities 	:star:	⭐			-	https://docs.google.com/presentation/d/1ZWRbzrNJ9GwjM5Tizkew4effSKhTbuTe2ciATia0GdM/preview?usp=sharing	1004348729857421423	sp_q1
"請到 玉山 (B15) 贊助攤位查看選項
您將獲得 肉球印章 + 貓金幣 1600，回答錯誤有扣分機制，請謹慎填答

請問玉山設立金融業第一個以哪一個為核心的智能金融團隊?"	Which category does E.SUN has established the first Intelligent Banking Division to provide financial services?	AI	證券投資	期貨交易	保險業務	AI	stock 	futures	"insurance
"	1	1600	1	E.SUN Bank	:star:	⭐			-	https://docs.google.com/presentation/d/1ZYsdmr5vioKiYb83oVNfZcKscix7RGBF9yYPgUEnTsw/preview?usp=sharing	1004348775915073567	esun_q1
"請到 Berry AI (B15) 贊助攤位查看選項
您將獲得 肉球印章 + 貓金幣 1600，回答錯誤有扣分機制，請謹慎填答

請問 Berry AI 致力於使用電腦視覺服務於哪一領域的客戶？"	In which areas does Berry AI focus on using computer vision to serve clients?	建築業者	農業	速食業者	半導體工業	architecture 	agriculture	fast food chains	Semicondutor industry	3	1600	1	Berry AI	:star:	⭐			-	https://docs.google.com/presentation/d/1aOWWBeHjRxMmsZjvj4KpCuNcFnzZw6O_2gTJoFIEPxo/preview?usp=sharing	1004348844412252170	berry_q1
"請到 KKCompany (B15) 贊助攤位查看選項
您將獲得 肉球印章 + 貓金幣 1600，回答錯誤有扣分機制，請謹慎填答

請問 KKCompany 所包含五大事業體不包含哪個？"	Which is NOT among the five shareholders of KKCompany?	愛情媒合 KKLOVE	內容新創加速器 KKFARM	影音串流 KKTV	串流科技 KKStream	KKLOVE	KKFARM	KKTV	KKStream	1	1600	1	KKCompany	:star:	⭐			-	https://docs.google.com/presentation/d/1cGxtmlavGjPJYy7EcO2_Jp4NIFjTloAcMl3eVrM4qOo/preview?usp=sharing	1004348898422304889	kk_q1
"請到 Reuven Lerner (B15) 贊助攤位查看選項
您將獲得 肉球印章 + 貓金幣 1600，回答錯誤有扣分機制，請謹慎填答

請問 Reuven Lerner，為全球企業提供超過 30 門高效率、密集紮實的什麼程式語言的課程？"	What is Reuven Learner’s offer in a programming language for more than 30 fast-paced, lab-heavy courses?	Python	Perl	Ruby	Rust	Python	Perl	Ruby	Rust	1	1600	1	Reuven Lerner	:star:	⭐			-	https://docs.google.com/presentation/d/1gLD3zM8lvQV3itbBtXXf3y1mV6jV7Il6YoUolvolcCM/preview?usp=sharing	1004350820302733392	rl_q1
"請到 Appier (B15) 贊助攤位查看選項
您將獲得 肉球印章 + 貓金幣 1600，回答錯誤有扣分機制，請謹慎填答

請問 Appier 是一家以什麼為核心的軟體即服務 (SaaS) 公司？"	What is the technique for Appier to power business decision-making?	人工智慧	電商網站	雲端服務	AR 擴增實境	AI	E-commerce	cloud service	AR	1	1600	1	Appier	:star:	⭐			-	https://docs.google.com/presentation/d/1n_9APEq4hMiI3pPyvsyDSTPbroDMG23cFU4N_DPzrEs/preview?usp=sharing	1004350847943184434	app_q1
